epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,15823,0.40429,0.46817,0.82013,0.74832,0.85042,0.87409,0.83477,0.42171,1.13859,0.78492,0.0009506,0.0009506,0.0009506
55,15972.1,0.37973,0.42824,0.84241,0.74949,0.85509,0.77858,0.72078,0.34608,1.13379,0.76504,0.0009308,0.0009308,0.0009308
56,16122.3,0.36365,0.41552,0.83554,0.74935,0.85453,0.84367,0.79118,0.33695,1.05587,0.77254,0.000911,0.000911,0.000911
57,16268.7,0.32181,0.38209,0.8347,0.74935,0.85453,0.84367,0.79118,0.33695,1.05587,0.77254,0.0008912,0.0008912,0.0008912
58,16415,0.35296,0.40971,0.85808,0.74851,0.8512,0.73875,0.71083,0.34173,1.05731,0.77971,0.0008714,0.0008714,0.0008714
59,16556.4,0.33838,0.39651,0.8288,0.70332,0.71429,0.62394,0.60303,0.3643,1.37078,0.78642,0.0008516,0.0008516,0.0008516
60,16704.9,0.37434,0.39149,0.84072,0.70902,0.71429,0.66169,0.61859,0.37783,1.09104,0.79393,0.0008318,0.0008318,0.0008318
61,26541.9,0.3262,0.35624,0.84218,0.70902,0.71429,0.66169,0.61859,0.37783,1.09104,0.79393,0.000812,0.000812,0.000812
62,26775.8,0.34994,0.37861,0.88268,0.37415,0.71429,0.42014,0.39417,0.50982,1.97235,0.84471,0.0007922,0.0007922,0.0007922
63,26933.7,0.35386,0.39153,0.83586,0.38123,0.71429,0.3331,0.28149,0.55525,2.59576,0.85577,0.0007724,0.0007724,0.0007724
64,27107.8,0.31139,0.36047,0.83703,0.70232,0.71429,0.56187,0.55568,0.32436,1.41938,0.78459,0.0007526,0.0007526,0.0007526
65,27293,0.37667,0.36736,0.83729,0.70232,0.71429,0.56187,0.55568,0.32436,1.41938,0.78459,0.0007328,0.0007328,0.0007328
66,27415.7,0.36381,0.37119,0.85221,0.70821,0.71429,0.5792,0.57515,0.29254,1.20367,0.76769,0.000713,0.000713,0.000713
67,27539.4,0.32213,0.34846,0.82253,0.74446,0.85714,0.73034,0.71669,0.29197,0.9633,0.75726,0.0006932,0.0006932,0.0006932
